No of Blocks,Label,Time
18,20-49,0.0081
20,0-19,0.0099
22,0-19,0.0109
21,more than 50,0.0099
20,20-49,0.01
19,20-49,0.0098
19,0-19,0.0157
21,20-49,0.0103
22,more than 50,0.0117
19,20-49,0.0098
21,0-19,0.0112
21,20-49,0.0096
20,more than 50,0.0099
18,0-19,0.008
22,0-19,0.0106
19,0-19,0.009
21,20-49,0.0099
19,more than 50,0.0077
17,20-49,0.0079
26,more than 50,0.0123
18,0-19,0.0084
22,20-49,0.0101
18,more than 50,0.008
22,0-19,0.0104
19,more than 50,0.0082
18,20-49,0.0084
20,20-49,0.0093
25,more than 50,0.0125
17,more than 50,0.0069
20,20-49,0.0091
19,more than 50,0.0091
22,more than 50,0.0097
21,0-19,0.0093
18,20-49,0.0081
20,more than 50,0.0094
25,0-19,0.0115
23,more than 50,0.011
20,20-49,0.0094
20,more than 50,0.0096
17,0-19,0.0068
18,0-19,0.0087
22,20-49,0.0095
19,0-19,0.0088
22,more than 50,0.0087
23,20-49,0.0105
21,0-19,0.0087
21,more than 50,0.0101
21,20-49,0.0094
19,20-49,0.0082
18,20-49,0.0078
17,0-19,0.0079
20,0-19,0.0092
26,20-49,0.012
17,20-49,0.0079
19,more than 50,0.0087
19,0-19,0.0082
16,20-49,0.0074
17,0-19,0.0131
23,more than 50,0.0117
20,20-49,0.0112
23,0-19,0.0116
18,more than 50,0.0097
20,20-49,0.0101
20,more than 50,0.0118
18,more than 50,0.0094
20,20-49,0.0109
19,20-49,0.0101
19,0-19,0.01
18,20-49,0.008
22,20-49,0.0114
21,20-49,0.0105
17,20-49,0.0091
17,more than 50,0.0082
18,20-49,0.0096
21,20-49,0.0111
26,0-19,0.0116
17,20-49,0.0087
21,more than 50,0.0109
22,20-49,0.0145
19,20-49,0.0103
22,0-19,0.0118
19,0-19,0.01
20,more than 50,0.0102
19,0-19,0.01
19,more than 50,0.0102
21,more than 50,0.0115
19,0-19,0.0096
20,more than 50,0.0102
17,20-49,0.009
20,20-49,0.0101
19,20-49,0.0098
22,0-19,0.0116
23,more than 50,0.0123
19,more than 50,0.0105
20,20-49,0.011
23,0-19,0.0115
18,0-19,0.011
22,0-19,0.0119
20,more than 50,0.0111
25,more than 50,0.0132
19,20-49,0.0103
18,more than 50,0.0089
17,0-19,0.0085
17,0-19,0.0088
19,more than 50,0.0105
19,more than 50,0.0098
24,0-19,0.0128
23,0-19,0.0126
18,20-49,0.0094
22,0-19,0.0116
19,more than 50,0.0105
23,0-19,0.0114
23,0-19,0.0263
19,20-49,0.0097
17,20-49,0.0088
21,more than 50,0.011
20,more than 50,0.0103
20,0-19,0.0101
18,0-19,0.0094
23,20-49,0.0117
21,more than 50,0.0107
24,more than 50,0.0112
21,20-49,0.0106
18,20-49,0.0086
17,more than 50,0.0084
19,20-49,0.0092
20,more than 50,0.0096
18,more than 50,0.0088
22,0-19,0.0111
20,0-19,0.0094
24,more than 50,0.0123
18,more than 50,0.0086
18,0-19,0.0089
20,0-19,0.0082
18,0-19,0.0073
25,0-19,0.0117
20,20-49,0.0093
23,0-19,0.0106
19,more than 50,0.0087
19,0-19,0.0089
20,0-19,0.0088
20,more than 50,0.0093
18,20-49,0.0092
20,0-19,0.0092
19,0-19,0.0092
24,0-19,0.0104
20,0-19,0.0089
20,20-49,0.0103
22,20-49,0.0102
19,0-19,0.0076
19,more than 50,0.0082
19,more than 50,0.0088
21,more than 50,0.0097
19,20-49,0.0089
23,more than 50,0.011
18,more than 50,0.0081
16,20-49,0.0075
22,20-49,0.0097
21,20-49,0.0097
20,more than 50,0.0094
19,0-19,0.0089
19,20-49,0.009
19,0-19,0.009
22,more than 50,0.0104
22,0-19,0.0101
19,20-49,0.0091
19,0-19,0.0087
19,more than 50,0.0086
20,more than 50,0.0099
17,more than 50,0.0075
17,20-49,0.0072
20,0-19,0.0097
18,more than 50,0.0093
17,20-49,0.0085
22,0-19,0.0113
18,0-19,0.0087
21,0-19,0.0102
17,0-19,0.0078
23,20-49,0.0114
18,20-49,0.0078
22,more than 50,0.011
23,0-19,0.011
18,0-19,0.0086
25,0-19,0.0115
21,0-19,0.009
19,more than 50,0.0091
17,0-19,0.0073
17,more than 50,0.0075
24,20-49,0.0093
26,0-19,0.0128
21,20-49,0.0097
19,0-19,0.009
19,20-49,0.0093
19,20-49,0.0091
27,more than 50,0.0132
19,more than 50,0.0081
26,0-19,0.0122
22,20-49,0.01
19,more than 50,0.0093
19,20-49,0.009
21,20-49,0.0102
18,0-19,0.0086
